brightness_consistency_score,temporal_consistency_score,motion_field_score,boundary_stability_score,color_consistency_score,scene_smoothness_score,background_stability_score,frequency_anomaly_score,noise_pattern_score,gradient_consistency_score,lighting_consistency_score,texture_authenticity_score,shadow_consistency_score,optical_flow_distribution_score,perceptual_hash_score,ai
92.45963061193527,82.41065655704988,97.14927768707275,99.0251298951185,99.89976866297823,98.71435394126034,91.45414734170939,0.0643271164342669,0.002397714425090233,28.449220435429147,0.0,100.0,72.41635933153955,100.0,86.86904761904762,1
99.76722702836244,90.60876146829008,99.96156756579876,99.0236005638499,99.94241339467766,99.59988124372394,98.07875741233154,0.0028398073336866514,0.006596174160995416,36.78094520562605,0.0,100.0,83.76996451210566,100.0,83.73809523809524,1
98.88455657914668,86.77544311764905,99.84057299792767,99.22288556923614,99.9810797613269,98.22112566513871,98.31162407129932,0.0010453734521415029,0.012196691673259088,39.16702004153798,0.0,100.0,77.59341776670398,100.0,83.77678571428572,1
95.66409845352824,65.91698912896321,99.31240791082382,98.91674322276378,99.93327445000698,99.92728741655247,95.76035322151301,0.04793934932334151,0.0031568909658715527,42.99135551975408,0.0,100.0,51.85092524674887,100.0,93.42857142857143,1
95.13452321616175,71.19412044175031,62.47428512573242,99.21323978479188,99.96175432123451,99.91307718882939,92.3789362825652,0.04068601620028894,0.00031492268260109764,40.66539561900198,0.0,100.0,53.93776017057193,100.0,96.10380116959064,1
95.60845030800465,71.93236369508126,0.0,99.1517938216807,99.98286187594056,99.6433447286037,95.35045340410213,0.007127956743973701,0.0010834361504327586,38.64882068693021,0.0,100.0,49.724041481878864,0.0,92.046783625731,1
95.21710681239877,60.081718091434475,6.764434814453124,99.02448082664009,99.95918169353749,99.88928962001397,87.60690054830856,0.008673883531994815,0.0007154715971949262,41.36309863532739,0.0,100.0,50.137331391114934,100.0,89.71491228070175,1
94.86619637032298,57.67139515851928,0.0,99.39653671245856,99.96680556493713,99.88094379916765,82.19193478406713,0.03497712425924315,0.0006616793263340453,26.8087707499739,0.0,100.0,49.73262531919638,100.0,91.15497076023392,1
94.87265309191538,65.479183081796,0.0,98.94291473699496,99.96530453057655,99.84639775357192,78.82578469446014,0.014378216770729712,0.0005955277609160747,40.01583746440631,0.0,100.0,47.372035371026755,100.0,86.90058479532165,1
96.01036335986804,66.87502399842951,0.0,99.58810324225335,99.97057577761095,99.77795017944743,93.7678663690203,0.02638701307988142,0.0004103300926574081,40.34148631975141,0.0,100.0,49.99100553420889,100.0,95.09502923976609,1
94.97132488218702,66.38757183242802,17.300048828125004,99.22440025506185,99.96368587881679,99.89676723348136,89.31156907785125,0.013434635584490002,0.0006438890178090857,36.33381349388986,0.0,100.0,52.059621085038245,68.21338413887247,92.60964912280701,1
98.85359530203765,99.59299016253922,99.99999991753832,99.56652932421468,99.99659167941222,61.14895267339877,94.27883737471922,5.573391412227581e-05,0.0314430814121939,40.062598397147674,0.0,51.39109239875941,99.15034931195041,100.0,62.52923976608187,0
96.0322870956078,70.2171031522312,44.32571029663086,99.07795201665861,99.97057805583758,97.97901256705195,92.34268393186008,0.03406239189063837,0.0004047666404975056,43.52835369296246,0.0,100.0,53.4304227638974,100.0,94.53399122807016,1
